Rule_ID,Domain,Sub_Category,Rule_Name,Rule_Type,Regulatory_Standards_Source,Jurisdiction_Scope,Trigger_Condition,Business_Logic_Threshold,Precedence_Conflict_Resolution,Lifecycle_Phase,Owning_System_Domain_Holon,Source_Document,Notes
PAY-011,Payroll & Tax,Multi-State Tax,Multi-State Wage Base & Reciprocal Tax Agreement Logic,Business Logic,State reciprocity agreements,Multi-state,Employee's home and work jurisdictions differ,Apply reciprocal agreement rules to avoid dual state income tax withholding,Reciprocity agreement (if any) overrides default work-state withholding,Design,Payroll & Tax Domain Holon,DOC2; DOC3,Evaluated via SWRL temporal & nexus inference (Step 2 of RCB Enforcement Engine).
PAY-012,Payroll & Tax,Multi-State Tax,SUTA Experience Rating Transfer / Allocation,Obligation,State unemployment insurance statutes,Multi-state,Client workforce spans multiple SUTA jurisdictions,Allocate SUTA tax liability and experience rating per worksite jurisdiction,N/A,Discover/Design,Payroll & Tax Domain Holon,DOC1; DOC2,
PAY-013,Payroll & Tax,Multi-State Tax,State Income Tax (SIT) Withholding by Jurisdiction,Obligation,State tax codes,Multi-state,Payroll run includes worker(s) taxed by state income tax,Withhold SIT based on worked/resident jurisdiction per applicable state rule,Reciprocal agreements override default sourcing (PAY-011),Run,Payroll & Tax Domain Holon,DOC1,
PAY-014,Payroll & Tax,Multi-State Tax,Local/Municipal Withholding Tax Ordinances,Obligation,Local tax ordinances,Local/Municipal,Worksite or residence falls within a local taxing jurisdiction,Withhold and remit local payroll tax per municipal ordinance,N/A,Run,Payroll & Tax Domain Holon,DOC1,
PAY-015,Payroll & Tax,Multi-State Tax,Local Business Registration Nexus Trigger,Threshold,State/local business registration requirements,Local/Municipal,Remote employee establishes sufficient presence in a jurisdiction,Trigger client business registration requirement when nexus threshold is met,N/A,Discover,Payroll & Tax Domain Holon,DOC1,
PAY-016,Payroll & Tax,Wage Calculation,Tip Credit Accounting,Business Logic,FLSA & state tipped-wage rules,Federal/State,Employee classified as tipped worker,Apply permitted tip credit against minimum wage obligation per jurisdiction,State tipped minimum wage overrides federal where higher,Develop,Payroll & Tax Domain Holon,DOC2,
PAY-017,Payroll & Tax,Wage Calculation,Court-Ordered Garnishment Priority Engine,Business Logic,Federal/state garnishment statutes,Federal/State,Court order or agency levy received for an employee,Apply statutory garnishment priority order and withholding limits across concurrent orders,Federal CCPA withholding caps as outer bound; state-specific priority order applied within,Develop,Payroll & Tax Domain Holon,DOC2,
PAY-018,Payroll & Tax,Pay Statements,State Wage Theft Prevention Act - Paystub Itemization,Obligation,State wage theft prevention acts,State (varies),Paystub generated for employee in a covered state,"Include statutory itemizations: accrued sick leave balance, gross/net hours, rate(s) applied",N/A,Deliver,Payroll & Tax Domain Holon,DOC2,
PAY-019,Payroll & Tax,Pay Statements,Direct Deposit Mandate Compliance,Obligation,State direct deposit statutes,State (varies),Employer/employee direct deposit election or state mandate applies,Enforce statutory consent/opt-out rules before disabling paper check option,N/A,Deliver,Payroll & Tax Domain Holon,DOC2,
PAY-020,Payroll & Tax,Pay Statements,Wage Notice Distribution,Obligation,State wage notice statutes,State (varies),New hire onboarded or pay rate changes,Distribute statutory wage rate/notice disclosure within required timeframe,N/A,Deliver,Payroll & Tax Domain Holon,DOC2,
PAY-021,Payroll & Tax,Tax Filing,Federal Form 941 Quarterly Filing,Reporting Deadline,IRS Form 941,Federal,Each calendar quarter close,File Form 941 and remit federal payroll taxes within IRS deadline,N/A,Run,Payroll & Tax Domain Holon,DOC1; DOC2,
PAY-022,Payroll & Tax,Tax Filing,Annual W-2 / 1099-MISC / 1099-NEC Generation,Reporting Deadline,IRS annual information returns,Federal,Calendar year-end,Generate and distribute W-2s and 1099-MISC/NEC forms by IRS deadline,N/A,Run,Payroll & Tax Domain Holon,DOC1; DOC2,
PAY-023,Payroll & Tax,PEO Tax Certification,Quarterly CPEO Tax Attestations,Reporting Deadline,IRC Section 7705 (CPEO),Federal,Each calendar quarter as a Certified PEO,Submit quarterly attestation of timely federal employment tax payments,N/A,Run,Payroll & Tax Domain Holon,DOC1; DOC2,
PAY-024,Payroll & Tax,PEO Tax Certification,Surety Bond Maintenance,Obligation,IRC Section 7705 (CPEO),Federal,Continuous CPEO status,Maintain federal bonding at statutorily required coverage level,N/A,Run,Payroll & Tax Domain Holon,DOC1; DOC2,
PAY-025,Payroll & Tax,Termination,Final Pay Upon Separation - State Timing Rules,Obligation,State final-pay statutes,State (varies),Employee separation (voluntary or involuntary),Issue final wages within state-mandated timeframe (varies by separation type/state),N/A,Run,Payroll & Tax Domain Holon,DOC2,
PAY-026,Payroll & Tax,Wage Calculation,State/Local Minimum Wage Baseline,Threshold,Federal/state/local minimum wage laws,Federal/State/Local,Any payroll calculation for a covered worker,"Effective minimum wage = MAX(federal, state, local) applicable to worksite",Most-stringent/highest-applicable-rate rule (GOV-009),Define/Run,Payroll & Tax Domain Holon,DOC1,
PAY-027,Payroll & Tax,Tax Calculation,SUTA/FUTA Annual Wage Base Ceiling,Threshold,IRS/State unemployment tax rules,Federal/State,New tax year begins,Apply versioned annual SUTA/FUTA wage base ceiling per tax year via temporal SWRL rules,N/A,Run,Payroll & Tax Domain Holon,DOC3,"Activated by WHEN dimension of 5D RCB (TaxYear, PeriodEnd)."
PAY-028,Payroll & Tax,Runtime Control,Simplex Action Gate - High-Value Batch Tax Remittance,Structural Invariant,Internal governance control (STPA/STAMP-informed),N/A - system control,"Batch tax total exceeds automated clearance threshold ($500,000 example)",Suspend automated fund disbursement; require human-in-the-loop authorization before release,N/A,Run,L3 Gateway Holon (RDSG),DOC3,See GOV-015/GOV-016 for the general architecture pattern.
PAY-029,Payroll & Tax,Runtime Control,Unsafe Control Action (UCA) Verification on Gross-to-Net,Structural Invariant,STPA/STAMP safety methodology,N/A - system control,Every gross-to-net batch execution,Verify no negative wage deductions and no double pay disbursements occur before directive compilation,N/A,Run,L3 Gateway Holon (RDSG),DOC3,Step 4 of the Enforcement Engine traversal.
BEN-001,Benefits,ACA,Applicable Large Employer (ALE) Determination,Business Logic,ACA employer mandate,Federal,Client onboarding or annual headcount review,Determine ALE status from full-time + FTE headcount across the controlled group,N/A,Discover,Benefits Domain Holon (isp-ben),DOC1; DOC2,
BEN-002,Benefits,ACA,Look-Back Measurement Method for Variable-Hour Employees,Business Logic,ACA employer mandate,Federal,Employee classified as variable-hour,Apply look-back measurement/stability period to determine full-time status dynamically,N/A,Design,Benefits Domain Holon,DOC1; DOC2,
BEN-003,Benefits,ACA,Affordability Safe Harbor Calculation,Threshold,ACA affordability safe harbor rules,Federal,Employee offered coverage; affordability test required,"Employee cost share for lowest-cost self-only plan must not exceed IRS affordability percentage of pay under a permitted safe harbor (W-2, rate of pay, or FPL)",N/A,Design,Benefits Domain Holon,DOC1; DOC2,
BEN-004,Benefits,ACA,Annual IRS Form 1094-C/1095-C Generation,Reporting Deadline,ACA employer mandate reporting,Federal,Calendar year-end,Generate and file 1094-C/1095-C forms by IRS deadline for all ALE clients,N/A,Run,Benefits Domain Holon,DOC1; DOC2,
BEN-005,Benefits,ERISA Fiduciary,Master Plan Document / MEP-PEP Fiduciary Structure,Structural Invariant,ERISA,Federal,Client enrolled in Multiple/Pooled Employer Plan,Establish fiduciary structure and eligibility standards under the Master Plan Document/MEP-PEP bylaws,N/A,Define,Benefits Domain Holon,DOC1; DOC2,
BEN-006,Benefits,ERISA Fiduciary,Form 5500 Annual Filing,Reporting Deadline,ERISA,Federal,Plan year-end for covered plans,File Form 5500 within ERISA/DOL deadline,N/A,Run,Benefits Domain Holon,DOC1,
BEN-007,Benefits,ERISA Fiduciary,SPD & SMM Disclosure,Obligation,ERISA / DOL electronic disclosure rules,Federal,New plan enrollment or material plan change,"Distribute Summary Plan Description and, upon material modification, Summary of Material Modifications",N/A,Deliver,Benefits Domain Holon,DOC1; DOC2,
BEN-008,Benefits,ERISA Fiduciary,Annual Non-Discrimination Testing (NDT),Reporting Deadline,IRC Section 105/125,Federal,Plan year-end for Section 105/125 plans,Conduct annual non-discrimination testing and remediate failures per IRC rules,N/A,Run,Benefits Domain Holon,DOC1; DOC2,
BEN-009,Benefits,SECURE 2.0,Mandatory Automatic Enrollment/Escalation,Obligation,SECURE 2.0 Act,Federal,New qualifying retirement plan established (post-SECURE 2.0 effective date),Auto-enroll eligible employees at statutory minimum default rate and auto-escalate annually per statute,N/A,Define,Benefits Domain Holon,DOC1; DOC2,
BEN-010,Benefits,SECURE 2.0,Long-Term Part-Time (LTPT) Employee Eligibility Tracking,Threshold,SECURE 2.0 Act,Federal,Part-time employee accrues qualifying consecutive years of service,Track LTPT service-hour thresholds and trigger plan eligibility once statutory threshold is met,N/A,Define,Benefits Domain Holon,DOC1; DOC2,
BEN-011,Benefits,SECURE 2.0,Emergency Savings Account Integration,Permission,SECURE 2.0 Act,Federal,Plan sponsor elects emergency savings account feature,Integrate pension-linked emergency savings account per statutory contribution/withdrawal limits,N/A,Define,Benefits Domain Holon,DOC1,
BEN-012,Benefits,CAA/Transparency,Machine-Readable File (MRF) Disclosure,Obligation,Consolidated Appropriations Act / Transparency in Coverage,Federal,Self-funded/insured group health plan in operation,Publish and maintain machine-readable pricing files per CAA/TiC schedule,N/A,Design,Benefits Domain Holon,DOC1; DOC2,
BEN-013,Benefits,CAA/Transparency,Pharmacy Benefit Reporting (RxDC),Reporting Deadline,Consolidated Appropriations Act,Federal,Annual RxDC reporting cycle,Submit pharmacy benefit and drug cost reporting data per CAA requirements,N/A,Run,Benefits Domain Holon,DOC1,
BEN-014,Benefits,CAA/Transparency,MHPAEA Comparative Analysis,Obligation,Mental Health Parity and Addiction Equity Act,Federal,Plan imposes non-quantitative treatment limitations,Perform and document comparative analysis demonstrating parity between medical/surgical and MH/SUD benefits,N/A,Design,Benefits Domain Holon,DOC1; DOC2,
BEN-015,Benefits,COBRA,Qualifying Event Notification & Premium Billing,Obligation,COBRA,Federal,"Qualifying event occurs (termination, reduction in hours, etc.)",Issue COBRA election notice within statutory window; administer premium billing/collection thereafter,N/A,Deliver/Run,Benefits Domain Holon,DOC1; DOC2,
BEN-016,Benefits,Data Privacy,HIPAA Privacy/Security Rules for Self-Funded Plans,Structural Invariant,HIPAA,Federal,Client sponsors a self-funded health plan,Apply HIPAA privacy/security safeguards to plan PHI handling,Cross-referenced with TEC-004 (HIPAA Security Rule technical controls),Run,Benefits Domain Holon; HR Technology Domain Holon,DOC1,
BEN-017,Benefits,Section 125,Cafeteria Plan Pretax Elections,Permission,IRC Section 125,Federal,Employee elects pretax benefit during enrollment,Process pretax flexible spending/premium elections per Section 125 plan terms,N/A,Define,Benefits Domain Holon,DOC1,
BEN-018,Benefits,Section 125,FSA/HSA Contribution Limit Validation,Threshold,IRC annual FSA/HSA limits,Federal,Employee elects FSA/HSA contribution,Reject/cap elections exceeding IRS annual contribution limit for plan year,N/A,Develop,Benefits Domain Holon,DOC2,
BEN-019,Benefits,Integration,Carrier EDI 834 Enrollment Feed Integration,Business Logic,HIPAA 834 EDI standard,Federal (technical standard),Enrollment/eligibility change submitted,Transmit standardized 834 EDI enrollment transaction to carrier,N/A,Develop,Benefits Domain Holon,DOC2,
BEN-020,Benefits,Disclosure,Summary of Benefits and Coverage (SBC) Distribution,Obligation,ACA / DOL disclosure rules,Federal,Open enrollment or new plan enrollment,Distribute SBC to enrollees within required disclosure window,N/A,Deliver,Benefits Domain Holon,DOC1; DOC2,
BEN-021,Benefits,Enrollment,Open Enrollment Self-Service Workflow,Business Logic,Internal plan administration,N/A,Annual open enrollment window opens,Provide self-service enrollment workflow with statutory disclosures embedded,N/A,Deliver,Benefits Domain Holon,DOC1; DOC2,
BEN-022,Benefits,Enrollment,Qualifying Life Event (QLE) Processing,Business Logic,IRC Section 125 / plan documents,Federal,Employee reports a qualifying life event,Validate QLE eligibility and process off-cycle enrollment change within permitted window,N/A,Run,Benefits Domain Holon,DOC1; DOC2,
CMP-001,Compliance & Risk,OSHA Recordkeeping,OSHA Form 300/300A/301 Electronic Submission,Reporting Deadline,OSHA Injury Tracking Application (ITA),Federal (+ State Plans),Client meets high-hazard industry or covered size threshold,Populate and electronically submit OSHA 300/300A/301 logs via ITA on required schedule,N/A,Run,Compliance & Risk Domain Holon (isp-comp),DOC1; DOC2,
CMP-002,Compliance & Risk,OSHA Recordkeeping,High-Hazard Industry / Covered Size Determination,Threshold,OSHA ITA coverage rules,Federal,Client onboarding or annual re-assessment,Classify client by NAICS/industry code and headcount to determine ITA reporting obligation,N/A,Discover,Compliance & Risk Domain Holon,DOC1; DOC2,
CMP-003,Compliance & Risk,Workplace Violence,CA SB 553 Workplace Violence Prevention Plan,Obligation,California SB 553,US-CA,Client has covered CA workforce,Maintain a written Workplace Violence Prevention Plan (WVPP),N/A,Define,Compliance & Risk Domain Holon,DOC1; DOC2,
CMP-004,Compliance & Risk,Workplace Violence,Violent Incident Log Maintenance,Obligation,California SB 553,US-CA,Violent incident occurs at covered worksite,Log incident per SB 553 recordkeeping requirements,N/A,Run,Compliance & Risk Domain Holon,DOC1,
CMP-005,Compliance & Risk,Workplace Violence,Annual Workplace Violence Prevention Training,Reporting Deadline,California SB 553,US-CA,Annual training cycle for covered employees,Deliver and track completion of annual WVPP training,N/A,Deliver,Compliance & Risk Domain Holon,DOC1,
CMP-006,Compliance & Risk,Environmental Health,State Heat Illness Prevention Procedures,Obligation,"Cal/OSHA, Oregon OSHA, emerging federal OSHA heat rule","US-CA, US-OR, Federal (pending)",Worksite subject to indoor/outdoor heat exposure thresholds,Dispatch state-specific heat illness prevention procedures automatically by jurisdiction/season,Federal rule (once finalized) sets floor; state rules apply where more protective,Run,Compliance & Risk Domain Holon,DOC1,
CMP-007,Compliance & Risk,Workers' Compensation,Master-Policy Underwriting & Multi-State Risk Pooling,Business Logic,State workers' comp statutes,Multi-state,Client enrolled under PEO master workers' comp policy,Pool client risk under master policy; allocate premium via multi-state underwriting model,N/A,Run,Compliance & Risk Domain Holon,DOC1,
CMP-008,Compliance & Risk,Workers' Compensation,Drug-Free Workplace Policy Administration,Permission,State drug-free workplace premium credit statutes,State (varies),Client elects drug-free workplace program,Administer policy and testing program per state requirements for premium credit eligibility,N/A,Define,Compliance & Risk Domain Holon,DOC1,
CMP-009,Compliance & Risk,Workers' Compensation,Light-Duty / Return-to-Work Accommodation Tracking,Business Logic,State workers' comp / ADA overlap,State (varies),Injured employee released for light duty,Track light-duty accommodation offer and RTW status through claim resolution,Coordinated with CMP-011 ADA interactive process where disability overlap exists,Run,Compliance & Risk Domain Holon,DOC1; DOC2,
CMP-010,Compliance & Risk,Workers' Compensation,Workers' Comp Class Codes / NCCI Mapping,Business Logic,National Council on Compensation Insurance (NCCI),Multi-state,Client onboarding or job role change,Map client job roles to NCCI class codes to set premium risk baseline,N/A,Discover,Compliance & Risk Domain Holon,DOC2,
CMP-011,Compliance & Risk,Accommodations,ADA Interactive Accommodation Process,Obligation,Americans with Disabilities Act,Federal,Employee requests disability accommodation,Execute structured interactive process to evaluate and document accommodation,N/A,Design,Compliance & Risk Domain Holon,DOC1; DOC2,
CMP-012,Compliance & Risk,Accommodations,Pregnant Workers Fairness Act (PWFA) Accommodation Workflow,Obligation,PWFA (federal),Federal,Employee requests pregnancy-related accommodation,Execute PWFA-specific accommodation evaluation workflow,N/A,Design,Compliance & Risk Domain Holon,DOC1; DOC2,
CMP-013,Compliance & Risk,Accommodations,PUMP Act Lactation Accommodation Policy,Obligation,PUMP for Nursing Mothers Act (federal),Federal,Nursing employee requests lactation accommodation,Provide compliant space/time accommodation per PUMP Act,N/A,Design,Compliance & Risk Domain Holon,DOC1; DOC2,
CMP-014,Compliance & Risk,Accommodations,State Religious/Disability Interactive Process Variants,Obligation,State civil rights statutes,State (varies),State-specific accommodation request received,Apply state-specific interactive-process variant in addition to federal baseline (ADA),State process applies where more protective than federal ADA baseline,Design,Compliance & Risk Domain Holon,DOC1,
CMP-015,Compliance & Risk,Claims,Digital First Notice of Loss (FNOL) / Claims Intake,Business Logic,Workers' comp claims administration,Multi-state,Workplace injury reported,Capture FNOL digitally and route to claims intake workflow,N/A,Develop,Compliance & Risk Domain Holon,DOC2,
CMP-016,Compliance & Risk,Leave Coordination,FMLA + State PFML Leave Coordination Logic,Business Logic,FMLA (federal) + State PFML statutes,Federal/State,Employee leave request qualifies under both FMLA and a state PFML program,Run concurrent designation logic to prevent duplicate leave-bank consumption or double payment,Concurrent-run (not additive) unless state law specifies otherwise,Develop,Compliance & Risk Domain Holon,DOC2,
CMP-017,Compliance & Risk,Postings,Mandatory Labor Law E-Posting Compliance,Obligation,Federal/state/local posting requirements,Federal/State/Local,"New jurisdiction added to client footprint, or posting requirement updates","Distribute/display required federal, state, and local compliance posters (physical and/or electronic)",N/A,Deliver,Compliance & Risk Domain Holon,DOC1; DOC2,
CMP-018,Compliance & Risk,Statutory Leave,"State PFML Withholding, Reporting & Claims Administration",Obligation,"State PFML statutes (MA, WA, NY, NJ, CA, CO, OR, MN, ME, DE, etc.)",State (active PFML states),Employee works in an active PFML state,"Calculate/withhold PFML contributions, report to state agency, and administer claims",N/A,Run,Compliance & Risk Domain Holon,DOC1,
CMP-019,Compliance & Risk,Statutory Leave,Statutory Paid Sick Leave (PSL) Accrual/Carryover/Front-Loading,Business Logic,Municipal/county PSL ordinances (dozens of disparate rules),Local/Municipal/County,Employee works in a jurisdiction with a PSL ordinance,"Apply jurisdiction-specific accrual rate, carryover cap, and/or front-loading election",Most-stringent local ordinance applies where employee is covered by multiple overlapping rules,Define,Compliance & Risk Domain Holon,DOC1; DOC2,
CMP-020,Compliance & Risk,Statutory Leave,Statutory Bereavement Leave Tracking,Obligation,State/local bereavement leave statutes,State/Local (varies),Employee requests bereavement leave in a covered jurisdiction,Track statutory bereavement leave entitlement and usage,N/A,Define,Compliance & Risk Domain Holon,DOC1,
CMP-021,Compliance & Risk,OSHA Recordkeeping,Annual OSHA Log Certification & Submission,Reporting Deadline,OSHA recordkeeping rule,Federal (+ State Plans),Annual certification cycle (typically Feb 1),Certify and submit prior-year OSHA logs by regulatory deadline,N/A,Run,Compliance & Risk Domain Holon,DOC2,
CMP-022,Compliance & Risk,Safety Audits,Client Loss-Control Safety Audits,Business Logic,Internal risk management / workers' comp carrier requirements,N/A,Periodic per client risk tier,Conduct loss-control audit and issue remediation guidance,N/A,Run,Compliance & Risk Domain Holon,DOC2,
TAL-001,Talent Management,Anti-Discrimination,Title VII / ADEA / GINA Hiring Screen,Prohibition,"Title VII, ADEA, GINA (federal)",Federal,Any hiring or employment decision,"Prohibit consideration of protected-class status, age (40+), or genetic information in employment decisions",N/A,Discover,Talent Domain Holon (isp-tal),DOC1,
TAL-002,Talent Management,Selection Procedures,EEOC Uniform Guidelines on Employee Selection Procedures,Obligation,EEOC Uniform Guidelines,Federal,"Client uses a formal selection procedure (test, assessment, structured interview)",Validate selection procedure against adverse-impact standards,N/A,Discover,Talent Domain Holon,DOC2,
TAL-003,Talent Management,AI Hiring,Automated Employment Decision Tool (AEDT) Bias Audit,Obligation,NYC Local Law 144; Colorado AI Act,NYC; US-CO (+ emerging states),Client uses an AEDT/algorithmic tool in hiring or promotion,Conduct and publish independent bias audit before/during AEDT use per statute cadence,N/A,Design,Talent Domain Holon,DOC1; DOC2,
TAL-004,Talent Management,AI Hiring,AEDT Candidate Disclosure Notice,Obligation,NYC Local Law 144; Colorado AI Act,NYC; US-CO,AEDT used to evaluate a candidate,"Provide candidate notice of AEDT use and, where required, an opt-out/alternative process",N/A,Design,Talent Domain Holon,DOC1,
TAL-005,Talent Management,Pay Transparency,State Salary Range Disclosure on Job Postings,Obligation,"State pay transparency laws (CA, CO, NY, MA, IL, etc.)",State (varies),Job requisition posted for role in a covered state,Auto-populate required salary range disclosure on posting before publication,N/A,Define,Talent Domain Holon,DOC1; DOC2,
TAL-006,Talent Management,Pay Transparency,Wage History Ban Enforcement,Prohibition,State wage history ban statutes,State (varies),Candidate interview/offer process in a covered state,Prohibit recruiter/system from requesting or using candidate's prior salary history,N/A,Deliver,Talent Domain Holon,DOC1; DOC2,
TAL-007,Talent Management,Job Design,Standardized Job Description with FLSA Duties Test,Business Logic,FLSA exemption criteria,Federal,New job description created or revised,Embed duties-test criteria in job description template to support correct exemption classification,N/A,Define,Talent Domain Holon,DOC2,
TAL-008,Talent Management,Hiring,Non-Discriminatory Hiring Rubric Standardization,Business Logic,EEOC guidance,Federal,Hiring rubric created for a requisition,Standardize scoring rubric to remove non-job-related criteria,N/A,Define,Talent Domain Holon,DOC1; DOC2,
TAL-009,Talent Management,Performance,Standardized Performance Appraisal Criteria,Business Logic,EEOC / AEDT governance,Federal/State (where AEDT used),Performance review cycle configured,Standardize appraisal criteria; subject algorithmic scoring to AEDT bias-audit rules (TAL-003) if automated,N/A,Design,Talent Domain Holon,DOC1; DOC2,
TAL-010,Talent Management,Background Checks,FCRA-Compliant Background Check Consent Workflow,Obligation,Fair Credit Reporting Act (FCRA),Federal,Background check ordered on a candidate,Obtain FCRA-compliant disclosure and standalone consent before ordering report,N/A,Develop,Talent Domain Holon,DOC1; DOC2,
TAL-011,Talent Management,Background Checks,Pre-Adverse / Adverse Action Notice Sequencing,Obligation,FCRA,Federal,Background check results may lead to adverse hiring decision,"Issue pre-adverse action notice, honor statutory waiting period, then issue adverse action notice if decision stands",N/A,Develop,Talent Domain Holon,DOC1; DOC2,
TAL-012,Talent Management,Training,Statutory Sexual Harassment Prevention Training Cadence,Reporting Deadline,NY state training mandate; CA SB 1343,US-NY (annual); US-CA (biannual),Employee/supervisor tenure reaches statutory training interval,Deliver training on required cadence: NY annual; CA biannual for supervisory and non-supervisory staff,N/A,Develop/Deliver,Talent Domain Holon,DOC1,
TAL-013,Talent Management,Training,Supervisor vs. Non-Supervisor Differentiated Training Tracks,Business Logic,CA SB 1343 and similar state statutes,State (varies),Employee assigned supervisory or non-supervisory role,Route employee to the training track/content matching their statutory role classification,N/A,Develop,Talent Domain Holon,DOC1,
TAL-014,Talent Management,Employment Verification,Form I-9 / E-Verify Digital Employment Verification,Obligation,Immigration Reform and Control Act / E-Verify,Federal,New hire onboarding,Complete digital I-9 within statutory window and run E-Verify where required,N/A,Deliver,Talent Domain Holon,DOC1; DOC2,
TAL-015,Talent Management,Reporting,EEO-1 Component 1 Federal Reporting,Reporting Deadline,EEOC EEO-1 reporting rule,Federal,Client meets EEO-1 filer threshold; annual filing cycle,Aggregate multi-client workforce demographic data and submit EEO-1 Component 1,N/A,Run,Talent Domain Holon,DOC1; DOC2,
TAL-016,Talent Management,Reporting,State Pay Data Reporting,Reporting Deadline,CA CRD Pay Data Report; IL Equal Pay Registration Certificate; similar state statutes,"US-CA, US-IL (+ others)",Client meets state pay-reporting filer threshold; annual/biennial cycle,Aggregate compensation/demographic data and submit state-mandated pay report or certificate,N/A,Run,Talent Domain Holon,DOC1; DOC2,
TAL-017,Talent Management,Training,Mandatory Training Completion Tracking,Business Logic,Various statutory training mandates,Federal/State (varies),Any statutory training assignment issued via LMS,"Track assignment, completion, and re-certification deadlines; escalate non-completion",N/A,Run,Talent Domain Holon,DOC1; DOC2,
TEC-001,HR Technology,Multi-Tenancy,Multi-Tenant Data Isolation Model,Structural Invariant,Internal architecture standard / PEO Client Allocation Matrix,N/A,Any client data access or storage operation,Enforce logical/physical isolation boundaries between client tenants at all data layers,N/A,Discover/Design,HR Technology Domain Holon (isp-tech),DOC1; DOC2; DOC3,Underpins RBAC/ABAC checks such as TEC-021.
TEC-002,HR Technology,Attestation,SOC 1 (SSAE 18) Financial Controls Attestation,Structural Invariant,AICPA SSAE 18 / ISAE 3402,N/A,Annual audit cycle,Maintain and renew SOC 1 Type II attestation covering payroll/financial processing controls,N/A,Define/Run,HR Technology Domain Holon,DOC1; DOC2,
